1;1;85.4;8569
2;2;100.0;8572
3;1;86.0;8591
4;2;95.2;8735
5;1;94.3;8738
6;1;86.4;8771
7;1;87.4;8903
8;1;85.8;8969
9;1;85.9;9011
10;1;85.0;9314
11;1;85.1;9458
12;1;85.6;10034
13;1;85.7;10382
14;1;85.1;10451
15;1;85.2;10700
16;1;88.8;10991
17;1;85.6;11057
18;1;88.4;11153
19;2;95.3;11231
20;1;93.7;11234
21;1;85.4;11930
22;1;85.4;11978
23;1;85.2;11993
24;2;95.1;12035
25;1;92.6;12047
26;1;85.5;13268
27;1;85.1;13280
28;1;85.4;13319
29;1;85.0;13655
30;1;85.0;13670
31;1;85.2;13691
32;1;85.1;13910
33;1;85.7;14300
34;1;85.0;14354
35;1;85.0;14408
36;1;85.0;14417
37;1;85.1;14429
38;1;85.0;14456
39;1;85.0;14465
40;1;85.2;14483
41;1;85.1;14903
42;1;85.8;16217
43;1;85.3;16274
44;1;85.1;16283
45;1;85.1;16343
46;1;85.4;16475
47;1;85.1;23654
48;1;86.4;23705
49;1;90.2;25382
50;1;90.1;25385
51;1;90.2;25388
52;1;90.2;25391
53;1;90.2;25394
54;1;90.3;25397
55;1;91.0;25400
56;1;91.3;25403
57;1;91.2;25406
58;1;91.1;25409
59;2;96.2;25412
60;1;94.6;25415
61;2;95.6;25418
62;2;95.3;25421
63;1;94.1;25424
64;1;94.8;25427
65;1;93.7;25430
66;1;93.5;25433
67;1;93.8;25436
68;1;93.8;25439
69;1;94.3;25442
70;2;95.7;25445
71;1;93.3;25448
72;2;96.3;25451
73;2;99.6;25454
74;2;98.3;25457
75;2;98.7;25460
76;2;95.4;25463
77;1;89.2;25466
78;2;95.0;25469
79;2;96.4;25472
80;1;93.5;25475
81;2;96.6;25478
82;2;95.7;25481
83;2;95.3;25484
84;2;95.8;25487
85;1;94.1;25490
86;2;96.7;25493
87;1;85.0;25496
88;2;97.4;25499
89;1;87.0;25502
90;2;99.1;25505
91;2;97.3;25508
92;2;99.1;25511
93;1;90.8;25514
94;1;88.0;25517
95;1;88.8;25520
96;1;89.8;25523
97;2;96.3;25526
98;1;89.1;25529
99;1;90.6;25532
100;1;91.4;25535
101;1;88.0;25538
102;1;88.1;25541
103;1;87.4;25544
104;1;85.7;25547
105;1;86.8;25550
106;1;87.5;25553
107;1;86.8;25556
108;1;86.4;25559
